,Title,Article id,Publication Date,Authors,Affliations,One Sentence Summary,Abstract
0,Interventions for preventing intensive care unit delirium in adults.,30484283,2018-11-30,"['Suzanne Forsyth Herling', 'Ingrid E Greve', 'Eduard E Vasilevskis', 'Ingrid Egerod', 'Camilla Bekker Mortensen', 'Ann Merete Møller', 'Helle Svenningsen', 'Thordis Thomsen']","['The Neuroscience Centre, Rigshospitalet, University of Copenhagen, Blegdamsvej 9, Copenhagen, Denmark, 2100.', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']","The evidence for preventive interventions for ICU delirium is inconclusive, and more research is needed.","Delirium is defined as a disturbance in attention, awareness and cognition with reduced ability to direct, focus, sustain and shift attention, and reduced orientation to the environment. Critically ill patients in the intensive care unit (ICU) frequently develop ICU delirium. It can profoundly affect both them and their families because it is associated with increased mortality, longer duration of mechanical ventilation, longer hospital and ICU stay and long-term cognitive impairment. It also results in increased costs for society.
To assess existing evidence for the effect of preventive interventions on ICU delirium, in-hospital mortality, the number of delirium- and coma-free days, ventilator-free days, length of stay in the ICU and cognitive impairment.
We searched CENTRAL, MEDLINE, Embase, BIOSIS, International Web of Science, Latin American Caribbean Health Sciences Literature, CINAHL from 1980 to 11 April 2018 without any language limits. We adapted the MEDLINE search for searching the other databases. Furthermore, we checked references, searched citations and contacted study authors to identify additional studies. We also checked the following trial registries: Current Controlled Trials; ClinicalTrials.gov; and CenterWatch.com (all on 24 April 2018).
We included randomized controlled trials (RCTs) of adult medical or surgical ICU patients receiving any intervention for preventing ICU delirium. The control could be standard ICU care, placebo or both. We assessed the quality of evidence with GRADE.
We checked titles and abstracts to exclude obviously irrelevant studies and obtained full reports on potentially relevant ones. Two review authors independently extracted data. If possible we conducted meta-analyses, otherwise we synthesized data narratively.
The electronic search yielded 8746 records. We included 12 RCTs (3885 participants) comparing usual care with the following interventions: commonly used drugs (four studies); sedation regimens (four studies); physical therapy or cognitive therapy, or both (one study); environmental interventions (two studies); and preventive nursing care (one study). We found 15 ongoing studies and five studies awaiting classification. The participants were 48 to 70 years old; 48% to 74% were male; the mean acute physiology and chronic health evaluation (APACHE II) score was 14 to 28 (range 0 to 71; higher scores correspond to more severe disease and a higher risk of death). With the exception of one study, all participants were mechanically ventilated in medical or surgical ICUs or mixed. The studies were overall at low risk of bias. Six studies were at high risk of detection bias due to lack of blinding of outcome assessors. We report results for the two most commonly explored approaches to delirium prevention: pharmacologic and a non-pharmacologic intervention.Haloperidol versus placebo (two RCTs, 1580 participants)The event rate of ICU delirium was measured in one study including 1439 participants. No difference was identified between groups, (risk ratio (RR) 1.01, 95% confidence interval (CI) 0.87 to 1.17) (moderate-quality evidence). Haloperidol versus placebo neither reduced or increased in-hospital mortality, (RR 0.98, 95% CI 0.80 to 1.22; 2 studies; 1580 participants (moderate-quality evidence)); the number of delirium- and coma-free days, (mean difference (MD) -0.60, 95% CI -1.37 to 0.17; 2 studies, 1580 participants (moderate-quality of evidence)); number of ventilator-free days (mean 23.8 (MD -0.30, 95% CI -0.93 to 0.33) 1 study; 1439 participants, (high-quality evidence)); length of ICU stay, (MD 0.18, 95% CI -0.60 to 0.97); 2 studies, 1580 participants; high-quality evidence). None of the studies measured cognitive impairment. In one study there were three serious adverse events in the intervention group and five in the placebo group; in the other there were five serious adverse events and three patients died, one in each group. None of the serious adverse events were judged to be related to interventions received (moderate-quality evidence).Physical and cognitive therapy interventions (one study, 65 participants)The study did not measure the event rate of ICU delirium. A physical and cognitive therapy intervention versus standard care neither reduced nor increased in-hospital mortality, (RR 0.94, 95% CI 0.40 to 2.20, I² = 0; 1 study, 65 participants; very low-quality evidence); the number of delirium- and coma-free days, (MD -2.8, 95% CI -10.1 to 4.6, I² = 0; 1 study, 65 participants; very low-quality evidence); the number of ventilator-free days (within the first 28/30 days) was median 27.4 (IQR 0 to 29.2) and 25 (IQR 0 to 28.9); 1 study, 65 participants; very low-quality evidence, length of ICU stay, (MD 1.23, 95% CI -0.68 to 3.14, I² = 0; 1 study, 65 participants; very low-quality evidence); cognitive impairment measured by the MMSE: Mini-Mental State Examination with higher scores indicating better function, (MD 0.97, 95% CI -0.19 to 2.13, I² = 0; 1 study, 30 participants; very low-quality evidence); or measured by the Dysexecutive questionnaire (DEX) with lower scores indicating better function (MD -8.76, 95% CI -19.06 to 1.54, I² = 0; 1 study, 30 participants; very low-quality evidence). One patient experienced acute back pain accompanied by hypotensive urgency during physical therapy.
There is probably little or no difference between haloperidol and placebo for preventing ICU delirium but further studies are needed to increase our confidence in the findings. There is insufficient evidence to determine the effects of physical and cognitive intervention on delirium. The effects of other pharmacological interventions, sedation, environmental, and preventive nursing interventions are unclear and warrant further investigation in large multicentre studies. Five studies are awaiting classification and we identified 15 ongoing studies, evaluating pharmacological interventions, sedation regimens, physical and occupational therapy combined or separately, and environmental interventions, that may alter the conclusions of the review in future."
1,Miller Fisher syndrome and polyneuritis cranialis in COVID-19.,32303650,2020-04-19,"['Consuelo Gutiérrez-Ortiz', 'Antonio Méndez-Guerrero', 'Sara Rodrigo-Rey', 'Eduardo San Pedro-Murillo', 'Laura Bermejo-Guerrero', 'Ricardo Gordo-Mañas', 'Fernando de Aragón-Gómez', 'Julián Benito-León']","['From the Departments of Glaucoma and Neuro-Ophthalmology (C.G.-O., S.R.-R., F.d.A.-G.) and Neurology (R.G.-M.), University Hospital ""Príncipe de Asturias,"" Alcalá de Henares; Department of Glaucoma (C.G.-O.), ""Martínez de Carneros"" Clinic; Department of Neurology (A.M.-G., E.S.P.-M., L.B.-G., J.B.-L.), University Hospital ""12 de Octubre""; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED) (J.B.-L.); and the Department of Medicine (J.B.-L.), Universidad Complutense, Madrid, Spain.', 'From the Departments of Glaucoma and Neuro-Ophthalmology (C.G.-O., S.R.-R., F.d.A.-G.) and Neurology (R.G.-M.), University Hospital ""Príncipe de Asturias,"" Alcalá de Henares; Department of Glaucoma (C.G.-O.), ""Martínez de Carneros"" Clinic; Department of Neurology (A.M.-G., E.S.P.-M., L.B.-G., J.B.-L.), University Hospital ""12 de Octubre""; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED) (J.B.-L.); and the Department of Medicine (J.B.-L.), Universidad Complutense, Madrid, Spain.', 'From the Departments of Glaucoma and Neuro-Ophthalmology (C.G.-O., S.R.-R., F.d.A.-G.) and Neurology (R.G.-M.), University Hospital ""Príncipe de Asturias,"" Alcalá de Henares; Department of Glaucoma (C.G.-O.), ""Martínez de Carneros"" Clinic; Department of Neurology (A.M.-G., E.S.P.-M., L.B.-G., J.B.-L.), University Hospital ""12 de Octubre""; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED) (J.B.-L.); and the Department of Medicine (J.B.-L.), Universidad Complutense, Madrid, Spain.', 'From the Departments of Glaucoma and Neuro-Ophthalmology (C.G.-O., S.R.-R., F.d.A.-G.) and Neurology (R.G.-M.), University Hospital ""Príncipe de Asturias,"" Alcalá de Henares; Department of Glaucoma (C.G.-O.), ""Martínez de Carneros"" Clinic; Department of Neurology (A.M.-G., E.S.P.-M., L.B.-G., J.B.-L.), University Hospital ""12 de Octubre""; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED) (J.B.-L.); and the Department of Medicine (J.B.-L.), Universidad Complutense, Madrid, Spain.', 'From the Departments of Glaucoma and Neuro-Ophthalmology (C.G.-O., S.R.-R., F.d.A.-G.) and Neurology (R.G.-M.), University Hospital ""Príncipe de Asturias,"" Alcalá de Henares; Department of Glaucoma (C.G.-O.), ""Martínez de Carneros"" Clinic; Department of Neurology (A.M.-G., E.S.P.-M., L.B.-G., J.B.-L.), University Hospital ""12 de Octubre""; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED) (J.B.-L.); and the Department of Medicine (J.B.-L.), Universidad Complutense, Madrid, Spain.', 'From the Departments of Glaucoma and Neuro-Ophthalmology (C.G.-O., S.R.-R., F.d.A.-G.) and Neurology (R.G.-M.), University Hospital ""Príncipe de Asturias,"" Alcalá de Henares; Department of Glaucoma (C.G.-O.), ""Martínez de Carneros"" Clinic; Department of Neurology (A.M.-G., E.S.P.-M., L.B.-G., J.B.-L.), University Hospital ""12 de Octubre""; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED) (J.B.-L.); and the Department of Medicine (J.B.-L.), Universidad Complutense, Madrid, Spain.', 'From the Departments of Glaucoma and Neuro-Ophthalmology (C.G.-O., S.R.-R., F.d.A.-G.) and Neurology (R.G.-M.), University Hospital ""Príncipe de Asturias,"" Alcalá de Henares; Department of Glaucoma (C.G.-O.), ""Martínez de Carneros"" Clinic; Department of Neurology (A.M.-G., E.S.P.-M., L.B.-G., J.B.-L.), University Hospital ""12 de Octubre""; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED) (J.B.-L.); and the Department of Medicine (J.B.-L.), Universidad Complutense, Madrid, Spain.', 'From the Departments of Glaucoma and Neuro-Ophthalmology (C.G.-O., S.R.-R., F.d.A.-G.) and Neurology (R.G.-M.), University Hospital ""Príncipe de Asturias,"" Alcalá de Henares; Department of Glaucoma (C.G.-O.), ""Martínez de Carneros"" Clinic; Department of Neurology (A.M.-G., E.S.P.-M., L.B.-G., J.B.-L.), University Hospital ""12 de Octubre""; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED) (J.B.-L.); and the Department of Medicine (J.B.-L.), Universidad Complutense, Madrid, Spain. jbenitol67@gmail.com.']","Two patients infected with SARS-CoV-2 presented with Miller Fisher syndrome and polyneuritis cranialis, respectively. Both patients made a complete neurologic recovery, except for residual anosmia and ageusia in the first case.","To report 2 patients infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) who presented acutely with Miller Fisher syndrome and polyneuritis cranialis, respectively.
Patient data were obtained from medical records from the University Hospital ""Príncipe de Asturias,"" Alcalá de Henares, and the University Hospital ""12 de Octubre,"" Madrid, Spain.
A 50-year-old man presented with anosmia, ageusia, right internuclear ophthalmoparesis, right fascicular oculomotor palsy, ataxia, areflexia, albuminocytologic dissociation, and positive testing for anti-GD1b-immunoglobulin G antibody. Five days previously, he had developed a cough, malaise, headache, low back pain, and fever. A 39-year-old man presented with ageusia, bilateral abducens palsy, areflexia, and albuminocytologic dissociation. Three days previously, he had developed diarrhea, a low-grade fever, and poor general condition. Oropharyngeal swab test for SARS-CoV-2 by qualitative real-time reverse transcriptase PCR assay was positive in both patients and negative in the CSF. The first patient was treated with IV immunoglobulin and the second with acetaminophen. Two weeks later, both patients made a complete neurologic recovery, except for residual anosmia and ageusia in the first case.
Our 2 cases highlight the rare occurrence of Miller Fisher syndrome and polyneuritis cranialis during the coronavirus disease 2019 (COVID-19) pandemic. These neurologic manifestations may occur because of an aberrant immune response to COVID-19. The full clinical spectrum of neurologic symptoms in patients with COVID-19 remains to be characterized."
2,A Pain in the Psoas.,27542388,2016-08-21,"['Charlotte M H Moriarty', 'Robert J Baker']","['Orthopedics Rhode Island, Wakefield, Rhode Island.', 'Department of Sports Medicine, Homer Stryker M.D. School of Medicine, Western Michigan University, Kalamazoo, Michigan.']","A psoas abscess is a collection of pus in the iliopsoas muscle compartment and is a rare cause of hip, low back, or groin pain.","General medical conditions are an important part of the differential diagnosis in athletes presenting with pain or injury. A psoas abscess is a collection of pus in the iliopsoas muscle compartment and is a rare cause of hip, low back, or groin pain. Psoas abscesses may have significant morbidity and mortality, as 20% progress to septic shock. Presenting symptoms are generally nonspecific and the onset may be subacute. Clinical presentation may have features suggestive of other diagnoses, including septic hip arthritis, iliopsoas bursitis, and retrocecal appendicitis. Proper diagnosis and management is critical to prevent complications of septic shock and death. In this unique case, a 19-year-old Division 1 collegiate football player presented to the emergency department 4 days following injury to his right groin during football practice. He complained of severe right groin pain accompanied by fatigue, fevers, nausea, and diarrhea. He later developed septic shock with multisystem organ dysfunction, requiring advanced life support. Imaging revealed an abscess located in the right iliopsoas compartment. After proper treatment, the athlete eventually made a complete recovery, returning to collegiate football 4 months postinjury. A literature review found no described cases of psoas abscess related to athletes with acute hip flexor strain. This athlete had no known risk factors for psoas abscess. This case highlights the importance of maintaining a broad differential in an athlete presenting with pain after injury. Making the diagnosis of psoas abscess often requires a high degree of suspicion and timely acquisition of imaging studies. In this particular case, imaging was key to making a proper diagnosis and tailoring treatment not only to return him to sport but also to save his life."
3,Disability in older adults with acute low back pain: the study Back Complaints in the Elderly - (Brazil).,28941958,2017-09-25,"['Alessandra Regina Silva Araujo Aguiar', 'Giane Amorim Ribeiro-Samora', 'Leani Souza Maximo Pereira', 'Larissa Birro Godinho', 'Marcella Guimarães Assis']","['Programa de Pós-Graduação em Ciência da Reabilitação da Universidade Federal de Minas Gerais (UFMG), Belo Horizonte, MG, Brazil.', 'Departamento de Fisioterapia, Universidade Federal de Minas Gerais (UFMG), Belo Horizonte, MG, Brazil.', 'Departamento de Fisioterapia, Universidade Federal de Minas Gerais (UFMG), Belo Horizonte, MG, Brazil.', 'Programa de Pós-Graduação em Ciência da Reabilitação da Universidade Federal de Minas Gerais (UFMG), Belo Horizonte, MG, Brazil.', 'Departamento de Terapia Ocupacional, Universidade Federal de Minas Gerais (UFMG), Belo Horizonte, MG, Brazil. Electronic address: mga@ufmg.br.']","There is no association between pain intensity and disability in older adults with acute low back pain. However, disability is influenced by the interaction between age groups and marital status.","The increase in the older adult and oldest old population in Brazil is growing. This phenomenon may be accompanied by an increase in musculoskeletal symptoms such as low back pain. This condition is usually associated with disability.
To verify the association between pain intensity and disability in older adults with acute low back pain and assess whether these variables differ depending on the age group and marital status.
This is a cross-sectional study conducted with 532 older adults with acute low back pain episodes. Pain intensity was assessed through the Numeric Pain Scale and disability through the Late Life Function and Disability Instrument, which shows two dimensions: ""frequency"" and ""limitation"" in performing activities. The association between pain and disability was analyzed.
For the interaction effect between age groups and marital status, we found that the oldest old living with a partner performed activities of the personal domain less often compared to the oldest old living alone. The oldest old group living with a partner had a lower frequency of performing activities, but did not report feeling limited. The association of pain with disability was minimal (rho<0.20) and thus considered irrelevant.
Disability in older adults with acute low back pain was influenced by the interaction between age groups and marital status and is not associated with pain intensity."
4,A randomized controlled study for the treatment of middle-aged and old-aged lumbar disc herniation by Shis spine balance manipulation combined with bone and muscle guidance.,33371159,2020-12-30,"['Jinhai Xu', 'Xing Ding', 'Jinze Wu', 'Xiaoning Zhou', 'Kun Jin', 'Ming Yan', 'Junming Ma', 'Xuequn Wu', 'Jie Ye', 'Wen Mo']","['Department of Orthopaedics, Longhua Hospital, Shanghai University of Traditional Chinese Medicine, No. 725, Wanping South Road, Fenglin Street, Xuhui District, Shanghai, China.', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']",Shi-style spine manipulation combined with Daoyin therapy is an effective treatment for lumbar disc herniation in middle-aged and elderly patients.,"Ninety percent of elderly patients with lumbar disc herniation (LDH) have problems with the mechanics of the spine and muscle tissue. Shi-style spine balance manipulation combined with guidance (Daoyin) of muscle and bone as an alternative therapy for LDH can tone the muscle groups around the spine and maintain optimal mechanical and static sagittal balance of the spine. This study will be performed to investigate the effect of a combination of Shi-style spine balance manipulation and Daoyin therapy on LDH in middle-aged and elderly patients. In this non-blinded, randomized controlled trial, 72 eligible patients will be randomly divided into a treatment group (Shi-style spine balance manipulation combined with Daoyin therapy) and a control group (lumbar mechanical traction). Before and after the intervention, lumbar X-ray and magnetic resonance imaging examinations will be performed to observe the sagittal balance parameters of the spine and pelvis and the lumbar muscle strength. The visual analog scale score, Oswestry disability index score, and pressure pain threshold will be evaluated at baseline and at 2, 4, 12, and 24 weeks. During the treatment period, any signs of acute adverse events, such as paralysis of the lower extremities or cauda equina syndrome, will be recorded at each visit. Although Shi-style spine manipulation combined with Daoyin therapy has been used in the treatment of LDH in middle-aged and elderly people in China for many years, there is no consensus on its effectiveness. This experiment will provide convincing evidence of the efficacy of Shi-style spine manipulation combined with Daoyin therapy in the treatment of LDH in middle-aged and elderly people."
5,Acute Lymphoblastic Leukemia Presenting Solely as Low Back Pain.,30775667,2019-02-19,"['Joshua Goodwin', 'Bijon Das']","['Dalhousie University, Department of Emergency Medicine, Halifax, Nova Scotia.', 'Dalhousie University, Department of Emergency Medicine, Halifax, Nova Scotia.']",The texts discuss a case of acute lymphoblastic leukemia in an adult patient who presented with musculoskeletal symptoms.,"A 23-year-old man with acute lymphoblastic leukemia presented to the emergency department without any history of constitutional symptoms (fatigue, anorexia, or weight loss), dyspnea, bruising, or bleeding. Presentation of acute leukemia solely as musculoskeletal pathology is common in pediatric populations but rare among adult patients. Recognizing this presentation of acute leukemia in adult patients could help prevent delayed diagnoses."
6,A 64-Year-Old Man with Low Back Pain Due to Clostridium perfringens Lumbar Discitis.,33479190,2021-01-23,"['Harshil Bhatt', 'Sandeep Singh']","['Hospitalist Program, Department of Medicine, Goshen Hospital, Goshen, IN, USA.', 'Department of Medicine, Indiana University School of Medicine, South Bend, IN, USA.']","The texts discuss a case of lumbar discitis caused by Clostridium perfringens, and emphasize that this rare pathogen should be considered in the differential diagnosis of patients presenting with discitis.","BACKGROUND Lumbar discitis caused by Clostridium perfringens is extremely rare. There have only been 7 published cases of confirmed discitis caused by Clostridium perfringens. We write this report to underscore this unusual relationship by discussing an additional case and providing a review of the previously published cases so clinicians can adequately evaluate and treat patients presenting with discitis. CASE REPORT A 64-year-old morbidly obese man presented with an acute onset of worsening back pain and generalized weakness after incurring physical trauma related to falling. Additionally, he also developed fever and chills before the presentation. Based on the clinical presentation and elevated serum levels of inflammatory markers, magnetic resonance imaging was ordered, which showed L5-S1 discitis with extension of infection into the epidural space. Fluoroscopy-guided aspiration of the L5-S1 epidural space facilitated the detection of Clostridium perfringens as the involved pathogen. Based on the antibiotic susceptibility report, the patient was treated with intravenous ampicillin for 8 weeks, after which his symptoms resolved. CONCLUSIONS Diagnosis of discitis can be very challenging due to its ambiguous clinical presentation, especially in the elderly population due to the presence of underlying degenerative changes. Even though Clostridium perfringens remains a rare cause of lumbar discitis, it should be considered as a pathogen capable of causing infection of the vertebrae and intervertebral discs, thus allowing clinicians to make necessary diagnostic evaluations to provide appropriate targeted treatment to patients presenting with discitis."
7,Brain-derived neurotrophic factor plasma levels are increased in older women after an acute episode of low back pain.,28376368,2017-04-05,"['Juliano Bergamaschine Mata Diz', 'Bruno de Souza Moreira', 'Diogo Carvalho Felício', 'Luiza Faria Teixeira', 'Fabianna Resende de Jesus-Moraleida', 'Bárbara Zille de Queiroz', 'Daniele Sirineu Pereira', 'Leani Souza Máximo Pereira']","['Department of Physical Therapy, Postgraduate Program in Rehabilitation Sciences, Universidade Federal de Minas Gerais, 6627 Antônio Carlos Avenue, 31270-901, Belo Horizonte, Minas Gerais, Brazil. Electronic address: julianodiz@gmail.com.', 'Department of Physical Therapy, Postgraduate Program in Rehabilitation Sciences, Universidade Federal de Minas Gerais, 6627 Antônio Carlos Avenue, 31270-901, Belo Horizonte, Minas Gerais, Brazil. Electronic address: brunosouzamoreira@gmail.com.', 'Department of Physical Therapy, Universidade Federal de Juiz de Fora, s/n Eugênio do Nascimento Avenue, 36038-330, Juiz de Fora, Minas Gerais, Brazil. Electronic address: diogofelicio@yahoo.com.br.', 'Department of Physical Therapy, Universidade do Vale do Sapucaí, 320 Coronel Alfredo Custódio de Paula Avenue, 37550-000, Pouso Alegre, Minas Gerais, Brazil. Electronic address: luizaft@yahoo.com.br.', 'Department of Physical Therapy, Faculty of Medicine, Universidade Federal do Ceará, 949 Alexandre Barúna Street, 60430-160, Fortaleza, Ceará, Brazil. Electronic address: fabiannamoraleida@gmail.com.', 'Department of Physical Therapy, Postgraduate Program in Rehabilitation Sciences, Universidade Federal de Minas Gerais, 6627 Antônio Carlos Avenue, 31270-901, Belo Horizonte, Minas Gerais, Brazil. Electronic address: babzille@gmail.com.', 'Department of Physical Therapy, Universidade Federal de Alfenas, 2600 Jovino Fernandes Sales Avenue, 31270-901, Alfenas, Minas Gerais, Brazil. Electronic address: daniele.sirineu@gmail.com.', 'Department of Physical Therapy, Postgraduate Program in Rehabilitation Sciences, Universidade Federal de Minas Gerais, 6627 Antônio Carlos Avenue, 31270-901, Belo Horizonte, Minas Gerais, Brazil. Electronic address: leanismp.bh@terra.com.br.']","Older women with acute low back pain have higher levels of brain-derived neurotrophic factor (BDNF) than those without pain, and this difference is not explained by pain severity, presence of depressive symptoms, or use of analgesic drugs.","Low back pain (LBP) is a growing public health problem in old age, and it is associated with disabling pain and depressive disorders. We compared brain-derived neurotrophic factor (BDNF) plasma levels, a key neurotrophin in pain modulation, between older women after an acute episode of LBP and age-matched pain-free controls, and investigated potential differences in BDNF levels between controls and LBP subgroups based on pain severity, presence of depressive symptoms and use of analgesic and antidepressant drugs.
A total of 221 participants (154 with LBP and 67 pain-free) were studied. A comprehensive assessment of sociodemographic and clinical variables was conducted including pain severity (11-point NRS), depressive symptoms (GDS-15), age, body mass index, physical activity and total number of comorbidities and medications in use.
BDNF levels in LBP group were significantly higher than controls (7515.9±3021.2; Md=7116.0 vs 6331.8±3364.0; Md=5897.5pg/mL, P=0.005). LBP subgroups exhibited higher BDNF levels than controls, regardless of pain severity, presence of depressive symptoms and use of analgesic drugs. BDNF levels were significantly higher in LBP subgroup without use of antidepressant drugs compared to both controls and LBP subgroup with use of antidepressant drugs.
This study provides evidence that older women with acute low back pain exhibit higher BDNF plasma levels compared to pain-free controls. Subgroup comparisons suggest that use of pain-relief drugs may influence BDNF levels. The study results offer a novel target for research on mechanisms of back pain in older adults."
8,"Minimally Clinically Important Change in the Activity Measure for Post-Acute Care (AM-PAC), a Generic Patient-Reported Outcome Tool, in People With Low Back Pain.",29077945,2017-10-28,"['Natalie Lee', 'Nicolas R Thompson', 'Sandra Passek', 'Mary Stilphen', 'Irene L Katzan']","['Medicine Institute, Cleveland Clinic, 9500 Euclid Ave, Cleveland, OH 44195.', 'Neurological Institute, Cleveland Clinic.', 'Physical Medicine and Rehabilitation, Cleveland Clinic.', 'Rehabilitation and Sports Therapy, Cleveland Clinic.', 'Neurological Institute, Cleveland Clinic.']",The MCID for the AM-PAC basic mobility version is 3.3 and for the adapted version is 3.5.,"The Activity Measure for Post-Acute Care (AM-PAC) is a generic metric of patient-reported functional status. The minimal clinically important difference (MCID) in the AM-PAC score has not been determined.
The study objective was to determine the MCID for AM-PAC in people with low back pain.
This was a retrospective cohort study.
Anchor-based and distribution-based methods were used to estimate the MCID. The Modified Low Back Pain Disability Questionnaire was used as the anchor. Adults who had a primary ICD-9 code for low back pain in at least 1 outpatient physical therapist visit during an episode of care and who completed both the AM-PAC and the Modified Low Back Pain Disability Questionnaire in at least 2 visits during the care episode were included. The MCID was calculated for the AM-PAC basic mobility version as well its adapted version, which the Cleveland Clinic uses for patients 65 years old or older.
A total of 1,271 participants were eligible for study. For the AM-PAC basic mobility version, anchor-based methods yielded MCID estimates of between 3.4 and 5.1, whereas distribution-based methods yielded estimates of 1.7 to 4.2. The minimal detectable change (MDC) for the AM-PAC basic mobility version was 3.3. For the adapted AM-PAC basic mobility version, the MCID was estimated to be between 2.9 and 4.0 via anchor-based methods and between 1.2 to 3.5 via distribution-based methods. The MDC for the adapted AM-PAC basic mobility version was 3.5.
The estimated MCID was designed for people with low back pain only.
The MCID ranged from 3.3 to 5.1 for the AM-PAC basic mobility version and 3.5 to 4 for the adapted version, with the MDC as the lower limit. Changes in the AM-PAC for people with low back pain may be interpreted using the estimated MCID. Future studies are needed to determine the AM-PAC MCID for populations other than those with low back pain."
9,[Sacroiliac joint dysfunction presented with acute low back pain: three case reports].,20628193,2010-07-16,"['Shuji Hamauchi', 'Daijiro Morimoto', 'Toyohiko Isu', 'Atsushi Sugawara', 'Kyongsong Kim', 'Yusuke Shimoda', 'Hiroaki Motegi', 'Ryoji Matsumoto', 'Masanori Isobe']","['Department of Neurosurgery, Kushiro Rosai Hospital, Japan.', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']",The texts above discuss the treatment of three patients with sacroiliac joint dysfunction causing acute low back pain.,"Sacroiliac joint (SIJ) can cause low back pain when its joint capsule and ligamentous tissue are damaged. We report our experience in treating three SIJ dysfunction patients presenting with acute low back pain (a 38 year-old male, a 24 year-old male, and a 32 year-old female). SIJ dysfunction was diagnosed using the one-finger test, the modified Newton test, and SIJ injection. In all three patients, lumbar MRI demonstrated slightly degenerated lumbar lesions (lumbar canal stenosis, lumbar disc hernia). Two patients had paresthesia or pain in the leg and all three patients showed iliac muscle tenderness in the groin, which was thought to be a referred symptom because of improvement after SIJ injection. The two male patients returned to work and the problems have not recurred. Although our female patient resumed daily life as a housewife, her condition recurred at intervals of 2-3 months and she required regular SIJ injections. The prevalence of SIJ dysfunction of low back pain is about 10%, so it should be considered as a differential diagnosis when treating low back pain and designing treatment for lumbar spinal disorders."
