,Title,Article id,Publication Date,Authors,Affliations,Abstract
0,Putative Antidepressant Effect of Chamomile (Matricaria chamomilla L.) Oral Extract in Subjects with Comorbid Generalized Anxiety Disorder and Depression.,31808709,2019-12-07,"['Jay D Amsterdam', 'Qing S Li', 'Sharon X Xie', 'Jun J Mao']","['Department of Psychiatry, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA.', 'Integrative Medicine Service, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA.', 'Department of Biostatistics, Epidemiology and Informatics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA.', 'Integrative Medicine Service, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA.']"," ""Objectives: This exploratory analysis examined the putative
 antidepressant effect of Matricaria chamomilla L. (chamomile) extract in
 subjects with generalized anxiety disorder (GAD) with or without comorbid
 depression. It was hypothesized that chamomile extract would demonstrate
 similar anxiolytic activity in both subgroups, but superior antidepressant
 activity in GAD subjects with comorbid depression. Design: As part of a
 randomized double-blind placebo-controlled trial of chamomile extract for
 relapse prevention of GAD, 179 subjects received initial therapy with
 open-label chamomile extract 1500 mg daily for 8 weeks. Linear mixed-effect
 models were used to identify clinically meaningful changes in anxiety and
 depression symptoms between diagnostic subgroups. Settings/Location: The
 study took place at the University of Pennsylvania in Philadelphia, PA.
 Subjects: Subjects were >/=18 years old with a primary DSM IV-TR diagnosis of
 GAD. They were subcategorized into two diagnostic groups: GAD without
 comorbid depression (n = 100) and GAD with comorbid depression (n = 79).
 Interventions: Open-label chamomile extract 1500 mg was given daily for 8
 weeks. Outcome measures: Generalized anxiety disorder (GAD-7), Hamilton
 rating scale for anxiety, Beck anxiety inventory, Hamilton rating scale for
 depression (HRSD), the six-item core HRSD (items 1, 2, 3, 7, 8, and 13), and
 the Beck depression inventory (BDI). Results: The authors observed similar
 anxiolytic effects over time in both diagnostic subgroups. However, there was
 a greater reduction in HRSD core symptom scores (p < 0.023), and a trend
 level reduction in HRSD total scores (p = 0.14) and in BPI total scores (p =
 0.060) in subjects with comorbid depression. Conclusions: M. chamomilla L.
 may produce clinically meaningful antidepressant effects in addition to its
 anxiolytic activity in subjects with GAD and comorbid depression. Future
 controlled trials in subjects with primary major depressive disorder are
 needed to validate this preliminary observation."
1,Mind-Body Exercise for Anxiety and Depression in COPD Patients: A Systematic Review and Meta-Analysis.,31861418,2019-12-22,"['Zaimin Li', 'Shijie Liu', 'Lin Wang', 'Lee Smith']","['School of Wushu, Chengdu Sport University, Chengdu 610041, China.', 'School of Physical Education and Sport Training, Shanghai University of Sport, Shanghai 200438, China.', 'Department of Physical Education, Wuhan University of Technology, Wuhan 430070, China.', 'The Cambridge Centre for Sport and Exercise Sciences, Anglia Ruskin University, CambridgeCB1 1PT, UK.']","Mind-body exercise has been generally recognized as a beneficial strategy to improve mental health in those with Chronic Obstructive Pulmonary Disease (COPD). However, to date, no attempt has been made to collate this literature. The aim of the present study was to systematically analyze the effects of mind-body exercise for COPD patients with anxiety and depression and provide scientific evidence-based exercise prescription.
both Chinese and English databases (PubMed, the Cochrane Library, EMBASE, Web of Science, Google Scholar, Chinese National Knowledge Infrastructure, Wanfang, Baidu Scholar) were used as sources of data to search randomized controlled trials (RCT) relating to mind-body exercise in COPD patients with anxiety and depression that were published between January 1982 to June 2019. 13 eligible RCT studies were finally used for meta-analysis.
Mind-body exercise (tai chi, health qigong, yoga) had significant benefits on COPD patients with anxiety (SMD= -0.76, 95% CI -0.91 to -0.60, p=0.04, I2=47.4%) and depression (SMD= -0.86, 95% CI -1.14 to -0.58, p=0.000, I2=71.4%). Sub-group analysis indicated that, for anxiety, 30-60 min exercise session for 24 weeks of health qigong or yoga had a significant effect on patients with COPD who are more than 70 years and have more than a 10-year disease course. For depression, 2-3 times a week, 30-60 min each time of health qigong had a significant effect on patients with COPD patients who are more than 70 years old and have less than a 10-year disease course.
Mind-body exercise could reduce levels of anxiety and depression in those with COPD. More robust RCT are required on this topic."
2,"Depression, Anxiety, and Mother-Infant Bonding in Women Seeking Treatment for Postpartum Depression Before and During the COVID-19 Pandemic.",34232578,2021-07-08,"['Haley Layton', 'Sawayra Owais', 'Calan D Savoy', 'Ryan J Van Lieshout']","['Health Research Methodology Graduate Program, McMaster University, Hamilton, Ontario, Canada.\nCorresponding author: Haley Layton, MPH, McMaster University, 1200 Main St West, Hamilton, ON, Canada, L8N 3Z5 (laytonh@mcmaster.ca).', 'MD/PhD Program, McMaster University, Hamilton, Ontario, Canada.', 'Department of Psychiatry and Behavioural Neurosciences, McMaster University, Hamilton, Ontario, Canada.', 'Department of Psychiatry and Behavioural Neurosciences, McMaster University, Hamilton, Ontario, Canada.']"," ""Objective: The conditions created by the COVID-19 pandemic could
 negatively affect maternal mental health and the mother-infant relationship.
 The aim of this study is to determine the impact of the COVID-19 pandemic on
 depression, anxiety, and mother-infant bonding among women seeking treatment
 for postpartum depression (PPD). Methods: Baseline data collected in two
 separate randomized controlled trials of a psychoeducational intervention for
 PPD in the same geographic region, one prior to COVID-19 (March 2019-March
 2020) and one during the COVID-19 pandemic (April-October 2020), were
 compared. Eligible participants had an Edinburgh Postnatal Depression Scale
 (EPDS) score of >/= 10, were >/= 18 years of age, had an infant < 12 months
 old, and were fluent in English. Outcomes included PPD (EPDS), anxiety
 (Generalized Anxiety Disorder-7 [GAD-7]), and mother-infant relationship
 (Postpartum Bonding Questionnaire [PBQ]). All were measured continuously and
 dichotomized at accepted clinical cutoffs. Results: Of the 603 participants
 (305 pre-COVID-19; 298 during COVID-19), mothers enrolled during the COVID-19
 pandemic reported higher levels of symptoms of PPD (B = 1.35; 95% CI, 0.64 to
 2.06; Cohen d = 0.31) and anxiety (B = 1.52; 95% CI, 0.72 to 2.32; Cohen d =
 0.30). During COVID-19, women had 65% higher odds of clinically significant
 levels of depression symptoms (OR = 1.65; 95% CI, 1.13 to 2.31) and 46%
 higher odds of clinically relevant anxiety symptoms (OR = 1.46; 95% CI, 1.05
 to 2.05). However, there were no statistically significant differences in
 mother-infant bonding. Conclusions: The findings of this study suggest that
 rates and severity of PPD and anxiety symptoms among women seeking treatment
 for PPD have worsened in Canada during the COVID-19 pandemic. However,
 treatment-seeking mothers have consistently maintained good relationships
 with their infants. Considering the difficulties women with PPD face when
 accessing treatment, it is important that strategies are developed and
 disseminated to safely identify and manage PPD to mitigate potential
 long-term adverse consequences for mothers and their families. Trial
 Registration: ClinicalTrials.gov identifiers: NCT03654261 and NCT04485000."
3,"Comorbidity of Migraine, Major Depressive Disorder, and Generalized Anxiety Disorder in Adolescents and Young Adults.",28032323,2016-12-30,"['Lilian N Dindo', 'Ana Recober', 'Rita Haddad', 'Chadi A Calarge']","['Menninger Department of Psychiatry and Behavioral Sciences, Baylor College of Medicine, Houston, TX, USA. lilian.dindo@bcm.edu.\nMichael Debakey Veterans Affairs, Health Services Research and Development, Center for Innovations in Quality, Effectiveness and Safety, Houston, TX, USA. lilian.dindo@bcm.edu.', ""Department of Neurology, Children's Hospital of Philadelphia, University of Pennsylvania, Philadelphia, USA."", 'Department of Psychiatry, Washington University, Seattle, USA.', ""Menninger Department of Psychiatry and Behavioral Sciences, Department of Pediatrics, Baylor College of Medicine, Texas Children's Hospital, 1102 Bates Ave, Suite 790, Houston, TX, 77030, USA. chadi.calarge@bcm.edu.""]","Depression and anxiety are highly comorbid psychiatric conditions and both are common in adult patients with migraine. This study aims to examine the unique associations between major depressive disorder (MDD) and generalized anxiety disorder (GAD) in a well-characterized group of older adolescents and college-age individuals with migraine.
Participants (N =  227), between 15 and 20 years old, who were unmedicated or within 1 month of beginning antidepressant treatment underwent a comprehensive psychiatric assessment to establish the presence of MDD and GAD, according to the Diagnostic and Statistical Manual, Fourth Edition, Text Revision, and to rate their symptom severity using the Longitudinal Interval Follow-up Evaluation for Adolescents (A-LIFE). They then completed the ID-Migraine. The Student's t test and chi-square test were used to compare continuous and categorical variables, respectively, across participants with vs. without migraine. Logistic regression analysis examined the association between the presence of migraine and psychopathology.
A diagnosis of MDD was associated with significantly increased risk of having migraine. Moreover, more severe and persistent ratings of depression were associated with an even higher likelihood of having migraine. A diagnosis of GAD was also significantly associated with the presence of migraine. The prevalence of comorbid MDD and GAD was significantly higher in participants with migraine than those without migraine (55 vs. 22%, p < 0.0001). When examined concurrently, GAD remained significantly associated with migraine, with a statistical trend for MDD to be associated with it.
The comorbidity of migraine, MDD, and GAD has important clinical and research implications. Patients who suffer from any of these problems should be screened for all three in order to receive comprehensive care. Shared psychological and biological vulnerabilities may be involved in the three conditions. Greater understanding of the shared vulnerabilities can lead to unified treatments."
4,"Double-blind, placebo-controlled, dose-ranging trial of intravenous ketamine as adjunctive therapy in treatment-resistant depression (TRD).",30283029,2018-10-05,"['Maurizio Fava', 'Marlene P Freeman', 'Martina Flynn', 'Heidi Judge', 'Bettina B Hoeppner', 'Cristina Cusin', 'Dawn F Ionescu', 'Sanjay J Mathew', 'Lee C Chang', 'Dan V Iosifescu', 'James Murrough', 'Charles Debattista', 'Alan F Schatzberg', 'Madhukar H Trivedi', 'Manish K Jha', 'Gerard Sanacora', 'Samuel T Wilkinson', 'George I Papakostas']","['Massachusetts General Hospital, Boston, MA, USA. mfava@mgh.harvard.edu.', 'Massachusetts General Hospital, Boston, MA, USA.', 'Massachusetts General Hospital, Boston, MA, USA.', 'Massachusetts General Hospital, Boston, MA, USA.', 'Massachusetts General Hospital, Boston, MA, USA.', 'Massachusetts General Hospital, Boston, MA, USA.', 'Massachusetts General Hospital, Boston, MA, USA.', 'Baylor College of Medicine/Michael E. Debakey VA Medical Center, Houston, TX, USA.', 'Baylor College of Medicine/Michael E. Debakey VA Medical Center, Houston, TX, USA.', 'Icahn School of Medicine at Mount Sinai, New York, NY, USA.', 'Icahn School of Medicine at Mount Sinai, New York, NY, USA.', 'Stanford University School of Medicine, Stanford, CA, USA.', 'Stanford University School of Medicine, Stanford, CA, USA.', 'University of Texas Southwestern, Dallas, TX, USA.', 'University of Texas Southwestern, Dallas, TX, USA.', 'Yale University, New Haven, CT, USA.', 'Yale University, New Haven, CT, USA.', 'Massachusetts General Hospital, Boston, MA, USA.']","Numerous placebo-controlled studies have demonstrated the ability of ketamine, an NMDA receptor antagonist, to induce rapid (within hours), transient antidepressant effects when administered intravenously (IV) at subanesthetic doses (0.5 mg/kg over 40 min). However, the optimal antidepressant dose remains unknown. We aimed to compare to active placebo the rapid acting antidepressant properties of a broad range of subanesthetic doses of IV ketamine among outpatients with treatment-resistant depression (TRD). A range of IV ketamine doses were compared to active placebo in the treatment of adult TRD over a 3-day period following a single infusion over 40 min. This was an outpatient study conducted across six US academic sites. Outpatients were 18-70 years old with TRD, defined as failure to achieve a satisfactory response (e.g., less than 50% improvement of depression symptoms) to at least two adequate treatment courses during the current depressive episode. Following a washout period, 99 eligible subjects were randomly assigned to one of the five arms in a 1:1:1:1:1 fashion: a single intravenous dose of ketamine 0.1 mg/kg (n = 18), a single dose of ketamine 0.2 mg/kg (n = 20), a single dose of ketamine 0.5 mg/kg (n = 22), a single dose of ketamine 1.0 mg/kg (n = 20), and a single dose of midazolam 0.045 mg/kg (active placebo) (n = 19). The study assessments (HAM-D-6, MADRS, SDQ, PAS, CGI-S, and CGI-I) were performed at days 0, 1, 3 (endpoint), 5, 7, 14, and 30 to assess the safety and efficacy. The overall group × time interaction effect was significant for the primary outcome measure, the HAM-D-6. In post hoc pairwise comparisons controlling for multiple comparisons, standard dose (0.5 mg/kg) and high dose (1 mg/kg) of intravenous ketamine were superior to active placebo; a low dose (0.1 mg/kg) was significant only prior to adjustment (p = 0.02, p-adj = 0.14, d = -0.82 at day 1). Most of the interaction effect was due to differences at day 1, with no significant adjusted pairwise differences at day 3. This pattern generally held for secondary outcomes. The infusions of ketamine were relatively well tolerated compared to active placebo, except for greater dissociative symptoms and transient blood pressure elevations with the higher doses. Our results suggest that there is evidence for the efficacy of the 0.5 mg/kg and 1.0 mg/kg subanesthetic doses of IV ketamine and no clear or consistent evidence for clinically meaningful efficacy of lower doses of IV ketamine. Trial Registration: NCT01920555."
5,"The relationship between generalized anxiety disorder, depression and mortality in old age.",16998780,2006-09-26,"['Tjalling J Holwerda', 'Robert A Schoevers', 'Jack Dekker', 'Dorly J H Deeg', 'Cees Jonker', 'Aartjan T F Beekman']","['Department of Psychiatry, Mentrum Mental Health Care, Amsterdam, The Netherlands. tjalling.holwerda@mentrum.nl', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']","The association between depression and an increased risk of death in elderly persons has been established in both clinical and community studies. Co-occurrence of depression and generalized anxiety has been shown to represent more severe and more chronic psychopathology. However, little is known about the relation between generalized anxiety disorder, mixed anxiety-depression (generalized anxiety disorder and depression) and excess mortality in the elderly.
To investigate whether generalized anxiety and mixed anxiety-depression are associated with mortality.
Generalized anxiety disorder, mixed anxiety-depression and depression were assessed in 4051 older persons with a ten-year follow-up of community death registers. The mortality risk of generalized anxiety, depression and mixed anxiety-depression was calculated after adjustment for demographic variables, physical illness, functional disabilities and social vulnerability.
In generalized anxiety disorder and mixed anxiety-depression no significant excess mortality was found. In depression a significant excess mortality was found in men [HR 1.44 (1.09-1.89)] but not in women [HR 1.04 (0.87-1.24)] after adjustment for the different variables.
In elderly persons depression increases the risk of death in men. Neither generalized anxiety nor mixed anxiety-depression are associated with excess mortality. Generalized anxiety disorder may even predict less mortality in depressive elderly people. The relation between generalized anxiety disorder and its possibly protective effect on mortality has to be further explored."
